Region,ln(Md [kg/m2/sr]),sigma(ln(Md)),ln(<U> [Habings]),sigma(ln(<U>)),qPAH,sigma(qPAH),reduced chi-square
76,-18.21204219403853,1.197519675949245,-1.353434123480622,1.216278187322132,0.1590507516752677,0.02534589336723224,0.4916435815501050
77,-17.38669208482867,0.5430439923230237,1.754334706263394,0.5336680055903248,0.04765331028398004,0.01210507504481336,0.3767149112978387
78,-16.77869901685836,0.2484725805011260,1.832732415918631,0.2371388632173721,0.03427607170256138,0.008873983146212747,2.009710992150239
79,-16.29533761493773,0.1956733797017055,2.323955861792087,0.1854084828816943,0.03515178190002535,0.006771149572932798,3.654534560142138
80,-15.50798859969473,0.3497092705242322,1.052646706425023,0.3383826554299888,0.04883030204155119,0.009778320875753253,0.9894188589034878
81,-15.83937282738451,0.3368769128789332,1.366327670185986,0.3204983216335809,0.04549589178739392,0.01019820307725754,1.978268714276405
82,-17.14014856093934,0.2946806313013796,-0.4551079809089938,0.2967722443343812,0.1070493755668952,0.01778817255010456,0.4892800918389643
83,-16.09406654422937,0.2604158955673010,1.227677322994455,0.2492001991120787,0.05213040564788850,0.01245967916420349,1.784175155433081
84,-17.76640666596244,1.155131334292804,1.356644112858229,1.131361979195979,0.04732030187817934,0.03284056538873847,0.7149650793284463
85,-16.23414886653791,0.6762943093475927,1.957523480671695,0.6568395776062306,0.02611272920353894,0.01048022731058913,1.128936084487515
86,-15.10458493676261,0.2417888206034773,1.521589050822638,0.2293398904775941,0.03230905366858251,0.006267910869824757,1.374390179966266
87,-15.10254857088050,0.3126239182064413,0.4664836303777131,0.3112833730614624,0.03887194339127029,0.01006871950216563,0.7233689179309948
88,-19.29692885568705,0.3763555671046897,0.05511247819894049,0.3918162844151925,0.1246592675186671,0.03568489947707840,0.3515150033160316
89,-16.54126134496962,0.5631269741415162,1.538975933973586,0.5496222181497438,0.04341303911690428,0.01608905850182406,0.8677600184876237
90,-16.26035559387259,0.6453909688080336,1.588524319205221,0.6377613709599839,0.02925227517157156,0.01386383332459214,0.8157042045823798
91,-16.08198953184416,0.7040345791356396,2.229588224976931,0.6999495633985758,0.02957290464110408,0.007885805934205648,1.406138580404787
92,-18.82926191112639,1.219817596099372,2.601944690834310,1.219292894776691,0.02438591287502685,0.009431123255792800,0.8657214765079048
93,-16.72029625036987,0.6996303035529992,1.828805779201083,0.6614029713986616,0.04683377928362626,0.01761352584152363,0.4446175272579353
94,-16.48905516309120,0.2201679746040424,1.092265825840372,0.2223341664274320,0.09661165044789317,0.007687085059822809,1.826135687160277
95,-16.06136513426527,0.4055841435396617,2.434319230456242,0.3925784767882358,0.04594776298416153,0.007884936331115228,1.516313671095055
96,-16.44639785961479,0.3421070977612312,-0.8480058562273469,0.3711264232930385,0.05033036382905667,0.02432902530385369,0.2518743058181497
97,-15.08378233396232,0.1985665689022081,0.6404782773525943,0.1819828008971039,0.04393184321289031,0.008779643467228433,1.101735380634557
98,-17.53603631840544,0.2354648542376809,-0.4816702920947201,0.2103245329026653,0.1406122705409930,0.01775559803763289,1.088802847975463
