Name,glon,glat,θ,EMff,EMff_err,τ250,τ250_err,Td,Td_err,βd,βd_err,ΔTCMB,ΔTCMB_err,Asp,Asp_err,σAME,νsp,νsp_err,fUCH_max,G0,G0_err,S_28.4_resid,S_28.4_resid_err,S_28.4_resid/S_100um,S_28.4_resid/S_100um_err,Chi^2
G231.83-02.00,231.83,-2,1.4,13.7,11,1.7,0.2,16.8,10.4,1.5,0.07,36,6,3.4,0.3,11.4,26.5,1.6,0.03,0.79,0.12,2.9,1.1,6.5,2.7,0.6
G234.20-00.20,234.2,-0.2,0.8,87,5,2.5,0.2,18.5,10.3,1.63,0.07,-46,8,8.2,0.6,14.5,26.3,1.8,0.05,1.38,0.14,6.8,1.3,4.3,1,1.25
G239.40-04.70,239.4,-4.7,1.6,80,4,1.4,0.1,17.3,10.4,1.89,0.14,18,8,5.2,0.5,9.9,30.7,2.5,0,0.93,0.14,4.5,0.9,6.2,1.5,0.95
G243.16+00.42,243.16,0.42,0.3,171,110,0.4,0.1,21.5,21.1,1.83,0.16,-2,6,3.6,0.8,4.2,29.5,1.4,0,3.4,1,3,1,2.8,1,0.56
G247.60-12.40,247.6,-12.4,1.2,10.3,11.4,0.5,0,18.8,10.5,1.59,0.13,-5,4,3.6,0.3,14,27.3,0.8,0,1.6,0.2,3,0.6,8.3,1.9,0.79
G253.80-00.20,253.8,-0.2,0.9,227,213,2.2,0.2,19.3,10.3,1.63,0.07,61,13,10.2,1.1,9.5,28.7,0.6,0.31,1.81,0.15,8.8,1.7,4.3,1,0.57
G259.30-13.50,259.3,-13.5,1.1,33,32,0.3,0,19.8,10.4,1.68,0.07,7,3,2.9,0.3,10.5,27.9,0.2,0,2.1,0.3,2.7,0.4,7.1,1.5,1.1
G260.50+00.40,260.5,0.4,2,243,216,2.9,0.4,18.7,10.6,1.7,0.07,58,14,6.4,1.9,3.3,23.9,4.6,0.1,1.5,0.3,4.8,2.4,2.1,1.1,0.15
G265.15+01.45,265.15,1.45,0.5,360,341,2.5,0.3,21.7,20.8,1.48,0.16,-125,-100,8.2,9,0.9,,,,3.7,0.8,1.8,7.3,0.3,1.4,0.12
G267.95-01.06,267.95,-1.06,0.3,3170,31165,3.6,0.9,24,21.4,1.98,0.09,195,67,24,13,1.9,,,,6.6,2.3,19,14,0.9,0.7,0.7
G270.27+00.84,270.27,0.84,0.9,106,124,4.7,0.5,18,10.4,1.71,0.1,-32,28,7.5,3.4,2.2,24.3,4.1,0.34,1.18,0.16,6.3,4.6,2.2,1.7,0.04
G274.01-01.15,274.01,-1.15,0.1,332,318,0.4,0,25.7,21,1.65,0.17,-37,10,2.7,1.6,1.6,,,,10.1,2.4,1.8,2,0.7,0.7,0.41
G282.02-01.16,282.02,-1.16,1.1,1726,1782,6.6,0.6,23.1,20.5,1.47,0.05,8,61,29.8,6.8,4.4,28.9,0.8,0.56,5.3,0.7,23.5,28.8,1.3,0.5,0.43
G284.30-00.30,284.3,-0.3,0.7,4534,45249,6.7,0.6,24.2,20.6,1.71,0.1,215,135,47,20,2.4,31.9,3.6,0.64,7,1,35,22,1,0.7,0.49
G287.48-00.63,287.48,-0.63,0.7,8492,84322,6.3,0.4,25.8,20.4,1.89,0.1,350,134,52,27,2,,,,10.2,0.9,35,30,0.6,0.5,0.84
G289.80-01.15,289.8,-1.15,1.1,1250,12111,2.2,1,25.2,22.9,1.42,0.15,-76,96,0,0,,,,,8.9,6.2,-8,23,-0.8,-2.3,0.12
